lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-23.6,-46.8,REGIONAL,560,BR,Brazil,Upper middle income
-22.5,-44.6,REGIONAL,560,BR,Brazil,Upper middle income
-4.5,-37.8,EXTERNAL,559,BR,Brazil,Upper middle income
-23.7,-46.8,INTERNAL,557,BR,Brazil,Upper middle income
-22.4,-43.2,REGIONAL,557,BR,Brazil,Upper middle income
-4.2,-38.9,REGIONAL,551,BR,Brazil,Upper middle income
-2.5,-44.2,REGIONAL,549,XX,Unknown,Not classified
-22.4,-44.7,REGIONAL,543,BR,Brazil,Upper middle income
-23.5,-46.6,INTERNAL,542,BR,Brazil,Upper middle income
-8.6,-37.4,INTERNAL,542,BR,Brazil,Upper middle income
-19.0,-50.5,INTERNAL,540,BR,Brazil,Upper middle income
-26.9,-48.7,REGIONAL,538,BR,Brazil,Upper middle income
-28.7,-53.6,REGIONAL,537,BR,Brazil,Upper middle income
-25.7,-54.5,REGIONAL,537,AR,Argentina,Upper middle income
-8.0,-34.9,REGIONAL,532,BR,Brazil,Upper middle income
-2.5,-54.9,REGIONAL,531,BR,Brazil,Upper middle income
-4.9,-36.1,INTERNAL,530,XX,Unknown,Not classified
-25.3,-48.3,INTERNAL,530,BR,Brazil,Upper middle income
-26.3,-48.5,INTERNAL,527,XX,Unknown,Not classified
-15.6,-56.1,REGIONAL,524,BR,Brazil,Upper middle income
-5.8,-35.2,REGIONAL,522,BR,Brazil,Upper middle income
-21.2,-48.3,REGIONAL,521,BR,Brazil,Upper middle income
-22.8,-41.9,REGIONAL,520,XX,Unknown,Not classified
-26.3,-48.7,INTERNAL,519,BR,Brazil,Upper middle income
-12.4,-54.9,REGIONAL,518,BR,Brazil,Upper middle income
-25.5,-48.4,INTERNAL,518,BR,Brazil,Upper middle income
-22.6,-49.0,INTERNAL,516,BR,Brazil,Upper middle income
-22.8,-46.9,INTERNAL,513,BR,Brazil,Upper middle income
-12.9,-38.4,REGIONAL,512,BR,Brazil,Upper middle income
-23.2,-44.7,REGIONAL,512,BR,Brazil,Upper middle income
-30.4,-50.4,INTERNAL,511,BR,Brazil,Upper middle income
-16.4,-56.6,REGIONAL,509,BR,Brazil,Upper middle income
-25.4,-49.3,EXTERNAL,506,BR,Brazil,Upper middle income
-8.8,-35.1,INTERNAL,506,BR,Brazil,Upper middle income
