original_key,resolved_name,resolved_country,type,__index_level_0__
"Florida Atlantic University, Harbor Branch Oceanographic Institute","Florida Atlantic University, Harbor Branch Oceanographic Institute",US,rightsholder,251
f5009303-74f2-4562-832b-1ba1d7066dc1,SierraCol Energy,CO,organization,252
SierraCol Energy,SierraCol Energy,CO,rightsholder,253
d72ca382-28e4-4c0e-8b67-1976f2ceb829,The Plankton Project,GB,organization,254
The Plankton Project,The Plankton Project,GB,rightsholder,255
8069f32d-516d-4cab-81a0-179353d6ef98,Water Management Consortium,GB,organization,256
Water Management Consortium,Water Management Consortium,GB,rightsholder,257
8033e292-dfbb-4817-9625-93c9463b1cf8,Thakur College of Science and Commerce Kandivali East Mumbai,IN,organization,258
Thakur College of Science and Commerce Kandivali East Mumbai,Thakur College of Science and Commerce Kandivali East Mumbai,IN,rightsholder,259
baf02eb8-6f22-4966-8d69-c358f1056e74,Nature Uganda,UG,organization,260
Nature Uganda,Nature Uganda,UG,rightsholder,261
95112886-79ab-4799-b3b4-e28a748d4b2b,"Institute of Vertebrate Biology, Czech Academy of Sciences",CZ,organization,262
"Institute of Vertebrate Biology, Czech Academy of Sciences","Institute of Vertebrate Biology, Czech Academy of Sciences",CZ,rightsholder,263
cbb5b88f-3a11-4b91-ae4e-1409e13002b5,Asociación Ornitologica de Costa Rica,CR,organization,264
Asociación Ornitologica de Costa Rica,Asociación Ornitologica de Costa Rica,CR,rightsholder,265
2077c240-e320-4bc7-8513-ffaecb2a8a11,Native Bee Society of BC,CA,organization,266
Native Bee Society of BC,Native Bee Society of BC,CA,rightsholder,267
e9958de5-e34d-41a7-9933-b71581408764,Universidade do Vale do Rio dos Sinos,BR,organization,268
Universidade do Vale do Rio dos Sinos,Universidade do Vale do Rio dos Sinos,BR,rightsholder,269
6fe79b95-b863-4ffc-b259-669392ce8685,"Dipartimento di Scienze e Politiche Ambientali, Università degli Studi di Milano",IT,organization,270
"Dipartimento di Scienze e Politiche Ambientali, Università degli Studi di Milano","Dipartimento di Scienze e Politiche Ambientali, Università degli Studi di Milano",IT,rightsholder,271
4cadd964-6ddd-4f79-8806-cb7b22828982,Museo Civico di Storia Naturale di Ferrara,IT,organization,272
Museo Civico di Storia Naturale di Ferrara,Museo Civico di Storia Naturale di Ferrara,IT,rightsholder,273
1815a5b5-d58c-41de-9193-764e593042bd,Green Awareness,CM,organization,274
Green Awareness,Green Awareness,CM,rightsholder,275
b61f7626-9aa4-4b43-8e3e-6c97251c6adf,Institute of Zoology Slovak Academy of Sciences,SK,organization,276
Institute of Zoology Slovak Academy of Sciences,Institute of Zoology Slovak Academy of Sciences,SK,rightsholder,277
69993366-2249-48af-a5ca-cf8456b8ebd9,ADE-CLIMATERRA RDC,CD,organization,278
ADE-CLIMATERRA RDC,ADE-CLIMATERRA RDC,CD,rightsholder,279
4180274b-32d6-4a75-a987-35ea969ab5fb,MUSE - Museo delle Scienze,IT,organization,280
MUSE - Museo delle Scienze,MUSE - Museo delle Scienze,IT,rightsholder,281
ce49064e-b07f-4a50-9969-e7c83dd80fea,Houston Museum of Natural Science,US,organization,282
Houston Museum of Natural Science,Houston Museum of Natural Science,US,rightsholder,283
c59705cc-0721-4a60-8559-5a0b075e7058,Universidad de Los Andes,VE,organization,284
Universidad de Los Andes,Universidad de Los Andes,VE,rightsholder,285
86878551-edc3-4b08-8efa-92559722453a,Fundación Soy Conservación,CR,organization,286
Fundación Soy Conservación,Fundación Soy Conservación,CR,rightsholder,287
